time,temperature_2m,relative_humidity_2m,precipitation
2026-08-31 00:00:00,21.2,88,0.0
2026-08-31 01:00:00,20.8,91,0.0
2026-08-31 02:00:00,20.4,94,0.0
2026-08-31 03:00:00,20.6,93,0.0
2026-08-31 04:00:00,20.8,91,0.0
2026-08-31 05:00:00,21.0,89,0.0
2026-08-31 06:00:00,20.7,92,0.0
2026-08-31 07:00:00,22.4,83,0.0
2026-08-31 08:00:00,24.3,73,0.1
2026-08-31 09:00:00,25.8,66,0.0
2026-08-31 10:00:00,27.5,57,0.0
2026-08-31 11:00:00,28.5,52,0.0
2026-08-31 12:00:00,29.6,47,0.0
2026-08-31 13:00:00,29.7,48,0.2
2026-08-31 14:00:00,29.9,48,0.1
2026-08-31 15:00:00,29.6,50,0.0
2026-08-31 16:00:00,28.5,52,0.1
2026-08-31 17:00:00,27.1,59,0.2
2026-08-31 18:00:00,25.3,67,0.0
2026-08-31 19:00:00,24.4,71,0.0
2026-08-31 20:00:00,23.6,75,0.0
2026-08-31 21:00:00,22.7,81,0.0
2026-08-31 22:00:00,22.0,86,0.0
2026-08-31 23:00:00,21.5,90,0.0
2026-09-01 00:00:00,21.0,94,0.0
2026-09-01 01:00:00,20.7,96,0.0
2026-09-01 02:00:00,20.7,95,0.0
2026-09-01 03:00:00,21.2,92,0.0
2026-09-01 04:00:00,21.0,94,0.0
2026-09-01 05:00:00,21.1,93,0.0
2026-09-01 06:00:00,21.1,92,0.0
2026-09-01 07:00:00,22.7,82,0.0
2026-09-01 08:00:00,24.7,71,0.0
2026-09-01 09:00:00,25.6,67,0.1
2026-09-01 10:00:00,27.7,61,0.0
2026-09-01 11:00:00,28.8,56,0.0
2026-09-01 12:00:00,30.2,51,0.0
2026-09-01 13:00:00,30.5,50,0.1
2026-09-01 14:00:00,30.6,50,0.0
2026-09-01 15:00:00,29.0,54,0.0
2026-09-01 16:00:00,27.7,59,0.5
2026-09-01 17:00:00,26.1,72,0.9
2026-09-01 18:00:00,25.5,69,0.0
2026-09-01 19:00:00,24.4,76,0.0
2026-09-01 20:00:00,23.3,84,0.0
2026-09-01 21:00:00,22.6,87,0.0
2026-09-01 22:00:00,22.0,90,0.0
2026-09-01 23:00:00,21.5,92,0.0
2026-09-02 00:00:00,21.1,93,0.0
2026-09-02 01:00:00,21.0,93,0.0
2026-09-02 02:00:00,21.6,89,0.0
2026-09-02 03:00:00,21.7,88,0.0
2026-09-02 04:00:00,21.6,89,0.0
2026-09-02 05:00:00,21.3,92,0.0
2026-09-02 06:00:00,21.5,91,0.0
2026-09-02 07:00:00,22.3,87,0.0
2026-09-02 08:00:00,24.5,73,0.0
2026-09-02 09:00:00,26.0,66,0.0
2026-09-02 10:00:00,27.2,60,0.0
2026-09-02 11:00:00,28.2,58,0.2
2026-09-02 12:00:00,29.9,53,0.2
2026-09-02 13:00:00,30.0,54,0.1
2026-09-02 14:00:00,30.4,53,0.1
2026-09-02 15:00:00,29.1,57,0.0
2026-09-02 16:00:00,25.5,74,1.1
2026-09-02 17:00:00,25.9,74,0.3
2026-09-02 18:00:00,25.1,77,0.0
2026-09-02 19:00:00,24.0,82,0.0
2026-09-02 20:00:00,22.9,87,0.0
2026-09-02 21:00:00,22.2,90,0.0
2026-09-02 22:00:00,21.8,92,0.0
2026-09-02 23:00:00,21.4,93,0.0
2026-09-03 00:00:00,21.2,94,0.0
2026-09-03 01:00:00,20.9,95,0.0
2026-09-03 02:00:00,21.0,94,0.0
2026-09-03 03:00:00,21.2,92,0.0
2026-09-03 04:00:00,21.0,93,0.0
2026-09-03 05:00:00,21.2,91,0.0
2026-09-03 06:00:00,21.1,92,0.0
2026-09-03 07:00:00,21.9,88,0.0
2026-09-03 08:00:00,24.0,76,0.0
2026-09-03 09:00:00,25.8,68,0.1
2026-09-03 10:00:00,26.5,64,0.0
2026-09-03 11:00:00,28.3,58,0.0
2026-09-03 12:00:00,29.8,56,0.1
2026-09-03 13:00:00,30.2,54,0.0
2026-09-03 14:00:00,28.1,59,0.4
2026-09-03 15:00:00,27.4,66,0.8
2026-09-03 16:00:00,26.2,72,0.7
2026-09-03 17:00:00,25.8,72,1.3
2026-09-03 18:00:00,24.7,77,0.0
2026-09-03 19:00:00,23.6,81,0.0
2026-09-03 20:00:00,22.7,86,0.0
2026-09-03 21:00:00,22.0,89,0.0
2026-09-03 22:00:00,21.6,91,0.0
2026-09-03 23:00:00,21.3,93,0.0
2026-09-04 00:00:00,21.0,95,0.0
2026-09-04 01:00:00,20.9,94,0.0
2026-09-04 02:00:00,20.8,95,0.0
2026-09-04 03:00:00,20.7,95,0.0
2026-09-04 04:00:00,20.5,96,0.0
2026-09-04 05:00:00,20.8,95,0.0
2026-09-04 06:00:00,21.5,90,0.0
2026-09-04 07:00:00,22.6,83,0.0
2026-09-04 08:00:00,23.8,77,0.0
2026-09-04 09:00:00,25.2,71,0.0
2026-09-04 10:00:00,26.8,65,0.0
2026-09-04 11:00:00,28.1,61,0.0
2026-09-04 12:00:00,29.3,57,0.0
2026-09-04 13:00:00,30.3,54,0.0
2026-09-04 14:00:00,30.7,53,0.0
2026-09-04 15:00:00,30.0,55,0.5
2026-09-04 16:00:00,28.6,59,0.5
2026-09-04 17:00:00,27.2,65,0.5
2026-09-04 18:00:00,25.9,71,0.1
2026-09-04 19:00:00,24.6,79,0.1
2026-09-04 20:00:00,23.5,86,0.1
2026-09-04 21:00:00,22.7,90,0.0
2026-09-04 22:00:00,22.1,93,0.0
2026-09-04 23:00:00,21.7,95,0.0
2026-09-05 00:00:00,21.5,95,0.0
2026-09-05 01:00:00,21.4,94,0.0
2026-09-05 02:00:00,21.4,94,0.0
2026-09-05 03:00:00,21.2,94,0.0
2026-09-05 04:00:00,21.1,94,0.0
2026-09-05 05:00:00,21.2,92,0.0
2026-09-05 06:00:00,21.7,89,0.0
2026-09-05 07:00:00,22.5,84,0.0
2026-09-05 08:00:00,23.7,77,0.0
2026-09-05 09:00:00,25.6,67,0.0
2026-09-05 10:00:00,27.8,57,0.0
2026-09-05 11:00:00,29.7,49,0.0
2026-09-05 12:00:00,30.9,44,0.0
2026-09-05 13:00:00,31.8,41,0.0
2026-09-05 14:00:00,31.9,40,0.0
2026-09-05 15:00:00,31.2,43,0.1
2026-09-05 16:00:00,29.8,49,0.1
2026-09-05 17:00:00,28.3,57,0.1
2026-09-05 18:00:00,26.8,65,0.1
2026-09-05 19:00:00,25.3,74,0.1
2026-09-05 20:00:00,24.0,82,0.1
2026-09-05 21:00:00,23.1,88,0.0
2026-09-05 22:00:00,22.4,91,0.0
2026-09-05 23:00:00,22.0,93,0.0
2026-09-06 00:00:00,22.1,91,0.0
2026-09-06 01:00:00,21.5,95,0.0
2026-09-06 02:00:00,20.9,97,0.0
2026-09-06 03:00:00,20.6,98,0.0
2026-09-06 04:00:00,20.6,97,0.0
2026-09-06 05:00:00,21.0,93,0.0
2026-09-06 06:00:00,22.0,86,0.0
2026-09-06 07:00:00,23.5,77,0.0
2026-09-06 08:00:00,25.4,67,0.0
2026-09-06 09:00:00,27.3,58,0.0
2026-09-06 10:00:00,29.0,52,0.0
2026-09-06 11:00:00,30.1,48,0.0
2026-09-06 12:00:00,30.7,45,0.0
2026-09-06 13:00:00,31.0,44,0.0
2026-09-06 14:00:00,31.1,43,0.0
2026-09-06 15:00:00,31.0,42,0.0
2026-09-06 16:00:00,30.7,43,0.0
2026-09-06 17:00:00,30.1,45,0.0
2026-09-06 18:00:00,29.2,49,0.0
2026-09-06 19:00:00,28.0,54,0.0
2026-09-06 20:00:00,26.5,62,0.0
2026-09-06 21:00:00,25.0,71,0.0
2026-09-06 22:00:00,23.6,81,0.0
2026-09-06 23:00:00,22.6,88,0.0
